,id,date,image_src,content
46,Alastor is my favorite character,1:17,"background-image: url(""https://i1.sndcdn.com/avatars-xdz1N4JIdD1MTQED-QgH66A-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",To all of the single girls out there!!!!this is why i'm not into boys
47,userkatyakatya,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-pyM0ds1VaITVz3fW-s6ykww-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",nah doesnt this give you lady gaga vibes?
48,aletra$h,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-K6VsLFXdjF1LmkKH-oiyWKQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@user-82707540 it does
49,#Ari=life,0:09,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",tat da best
50,الینا پورعبدیان,0:05,"background-image: url(""https://i1.sndcdn.com/avatars-000738023107-zyeayp-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",oh god !
51,p1nk playz,1:05,"background-image: url(""https://i1.sndcdn.com/avatars-000808484206-dvnm3z-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",OMG I LOVE THIS 😍😍😍😍🥰🥰🥰🥰🤩🤩🤩❤❤❤❤❤
52,Anthony Morales,0:30,"background-image: url(""https://i1.sndcdn.com/avatars-4QkmKTLN2gawSU2P-19DBzA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",❤️❤️❤️❤️😘😘😘😘😘
53,Anthony Morales,1:16,"background-image: url(""https://i1.sndcdn.com/avatars-4QkmKTLN2gawSU2P-19DBzA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I liked the song 😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
54,Earthworm sAlLy Florida,0:34,"background-image: url(""https://i1.sndcdn.com/avatars-000617376795-cocsoq-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",When i start breathing fire you cant take me~
55,Tyler Howell,0:33,"background-image: url(""https://i1.sndcdn.com/avatars-E7ZvPZPiOLcOhvno-Y88UbA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",yesss
56,Isabella Filian,2:05,"background-image: url(""https://i1.sndcdn.com/avatars-000814591411-p9vlhl-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",uh-oh
57,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
58,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
59,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
60,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
61,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
62,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
63,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
64,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",luvin it
65,DJ dog,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-000206094741-r5qkab-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Such good audio quality 👌🔉😍
66,User 635245122,0:08,"background-image: url(""https://i1.sndcdn.com/avatars-000563477823-ls0h0h-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I love this
67,Mÿštįçäł,0:06,"background-image: url(""https://i1.sndcdn.com/avatars-hBssPSGVis3TJBUu-LqYSbw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Yas queen
68,#Ari=life,0:08,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",tat good
69,#Ari=life,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-P8hmyn3RAx3aZbR4-qQ0gQg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",queeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeen
70,Luke James,0:01,"background-image: url(""https://i1.sndcdn.com/avatars-000658984112-g2hjze-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I missed ha !
71,sefidetire,1:25,"background-image: url(""https://i1.sndcdn.com/avatars-mWHawnOHbLoN1XVv-lrDh0Q-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Damn🔥😍
72,Emma-Marie Tucker,0:25,"background-image: url(""https://i1.sndcdn.com/avatars-000670728482-rr5pn4-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",She is amazing and i love this one
73,Mercedes Sercombe,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-4L2i6WLzE2CpMeFd-exbSxA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",✌🏻
74,MelanieRamos101,2:23,"background-image: url(""https://i1.sndcdn.com/avatars-000752619601-liadwu-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Insta got me going
75,ice queen,0:06,"background-image: url(""https://i1.sndcdn.com/avatars-000180763884-0ug90n-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",da best
76,Diaa Farrag,0:06,"background-image: url(""https://i1.sndcdn.com/avatars-000292171644-yx6k4a-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",❤🧡💛💚💙💜🤎🖤🤍👰🦸‍♀️
77,Phoenix,0:49,"background-image: url(""https://i1.sndcdn.com/avatars-lfJDiyr7X7JhFmDG-ss1I9g-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Pop Champagne and rase a toast~
78,☁🌈UwU🌈☁,0:04,"background-image: url(""https://i1.sndcdn.com/avatars-000786273088-g1k476-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",love this song
79,Anyang Tiel,0:07,"background-image: url(""https://i1.sndcdn.com/avatars-000762236407-ppatc8-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I love her
80,Ruby Barker,0:21,"background-image: url(""https://i1.sndcdn.com/avatars-000791236264-e3bl9s-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",What a song 🥰🥰
81,Mai Ahmed,0:40,"background-image: url(""https://i1.sndcdn.com/avatars-000266597646-mq3t5u-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Ow do i download this?
82,Mai Ahmed,0:40,"background-image: url(""https://i1.sndcdn.com/avatars-000266597646-mq3t5u-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",How
83,Wolf,0:40,"background-image: url(""https://i1.sndcdn.com/avatars-aIfUFkpa13QmUjy9-FJPn3Q-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@mai-ahmed-517321513 the downwards arrow.
84,Avie,1:42,"background-image: url(""https://i1.sndcdn.com/avatars-PdY3uQMGu4Pqqnc3-InPmKg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",The music vid is amazing
85,Avie,1:32,"background-image: url(""https://i1.sndcdn.com/avatars-PdY3uQMGu4Pqqnc3-InPmKg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",on our own
86,cassidee c.,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-aLW6ozRxQzoQfEug-JUZDJA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",she is my favorite artist
87,Avie,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-PdY3uQMGu4Pqqnc3-InPmKg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@cassidee-carlson: Mine too
88,Georgia 27,0:11,"background-image: url(""https://i1.sndcdn.com/avatars-000809784544-ea7vj6-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I lovee ittt
89,ya gurl Ash,0:15,"background-image: url(""https://i1.sndcdn.com/avatars-TOSilskkDf9HjWCM-LBXpiA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Feel good song 🥺❤️
90,🎀💖shadow💖🎀,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-kMY4poozvvfxq5OR-elZsVw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",i love this song
91,Morgan Barone,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-000808710811-ar10y7-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",whyyyyy
92,Morgan Barone,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-000808710811-ar10y7-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",i cant hear it
93,Morgan Barone,0:15,"background-image: url(""https://i1.sndcdn.com/avatars-000808710811-ar10y7-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",ok its good
94,Morgan Barone,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-000808710811-ar10y7-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",idk this song
95,madinaghanem,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-WgxpEMwog8RiKTQo-FhZJEQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I'm glad I reposted this so more people can see her amazing songs
96,crissy ❤️,1:26,"background-image: url(""https://i1.sndcdn.com/avatars-T98fDtd4laywYR4K-IXUUHQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",We will pop champagne and raise our toes :)
97,Alastor is my favorite character,1:26,"background-image: url(""https://i1.sndcdn.com/avatars-xdz1N4JIdD1MTQED-QgH66A-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@user-822631050-798842631 a toast
98,crissy ❤️,0:56,"background-image: url(""https://i1.sndcdn.com/avatars-T98fDtd4laywYR4K-IXUUHQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",You're not dancing on your own :)
99,づyeoo,0:56,"background-image: url(""https://i1.sndcdn.com/avatars-4UMzKzNUzGignCFg-kEz5tA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",baby your not dance
100,Ella Podlinev,0:43,"background-image: url(""https://i1.sndcdn.com/avatars-000807703240-z1vj4g-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",i love this song
